HHS,Year,Quarter,Category,Actual_Revenue,Budgeted_Revenue,Variance,Variance_Pct,FY
North West,2019,Q1,Equipment Hire,6447.0,7026.0,-578.0,-8.23,FY2019/20
North West,2019,Q1,Research Grants,12627.0,11772.0,855.0,7.26,FY2019/20
North West,2019,Q1,Other Commercial,4442.0,4476.0,-33.0,-0.75,FY2019/20
North West,2019,Q2,Car Parking,31803.0,30261.0,1542.0,5.09,FY2019/20
North West,2019,Q2,Cafeteria & Food Services,19760.0,20522.0,-762.0,-3.71,FY2019/20
North West,2019,Q2,Private Patient Fees,73917.0,81241.0,-7324.0,-9.02,FY2019/20
North West,2019,Q2,Pharmacy Retail,22776.0,22950.0,-174.0,-0.76,FY2019/20
North West,2019,Q2,Medical Imaging (Private),18144.0,17802.0,342.0,1.92,FY2019/20
North West,2019,Q2,Accommodation Fees,7365.0,8068.0,-703.0,-8.72,FY2019/20
North West,2019,Q2,Equipment Hire,6509.0,6507.0,2.0,0.03,FY2019/20
North West,2019,Q2,Research Grants,14347.0,13564.0,783.0,5.77,FY2019/20
North West,2019,Q2,Other Commercial,4042.0,4200.0,-158.0,-3.75,FY2019/20
North West,2019,Q3,Car Parking,36131.0,39674.0,-3543.0,-8.93,FY2019/20
North West,2019,Q3,Cafeteria & Food Services,20534.0,20005.0,530.0,2.65,FY2019/20
North West,2019,Q3,Private Patient Fees,74572.0,69657.0,4915.0,7.06,FY2019/20
North West,2019,Q3,Pharmacy Retail,23335.0,22621.0,714.0,3.16,FY2019/20
North West,2019,Q3,Medical Imaging (Private),17705.0,18703.0,-998.0,-5.33,FY2019/20
North West,2019,Q3,Accommodation Fees,7970.0,8438.0,-469.0,-5.55,FY2019/20
North West,2019,Q3,Equipment Hire,6110.0,5917.0,193.0,3.26,FY2019/20
North West,2019,Q3,Research Grants,15042.0,14254.0,787.0,5.52,FY2019/20
North West,2019,Q3,Other Commercial,3735.0,3739.0,-3.0,-0.09,FY2019/20
North West,2019,Q4,Car Parking,33934.0,30602.0,3332.0,10.89,FY2019/20
North West,2019,Q4,Cafeteria & Food Services,20712.0,20758.0,-46.0,-0.22,FY2019/20
North West,2019,Q4,Private Patient Fees,69085.0,75537.0,-6452.0,-8.54,FY2019/20
North West,2019,Q4,Pharmacy Retail,24410.0,26184.0,-1774.0,-6.78,FY2019/20
North West,2019,Q4,Medical Imaging (Private),16442.0,16670.0,-228.0,-1.37,FY2019/20
North West,2019,Q4,Accommodation Fees,8707.0,8851.0,-145.0,-1.63,FY2019/20
North West,2019,Q4,Equipment Hire,6314.0,6152.0,162.0,2.63,FY2019/20
North West,2019,Q4,Research Grants,12631.0,12524.0,106.0,0.85,FY2019/20
North West,2019,Q4,Other Commercial,3899.0,4185.0,-286.0,-6.84,FY2019/20
North West,2020,Q1,Car Parking,26101.0,28538.0,-2436.0,-8.54,FY2020/21
North West,2020,Q1,Cafeteria & Food Services,17149.0,16283.0,866.0,5.32,FY2020/21
North West,2020,Q1,Private Patient Fees,52103.0,56225.0,-4122.0,-7.33,FY2020/21
North West,2020,Q1,Pharmacy Retail,20616.0,20383.0,233.0,1.14,FY2020/21
North West,2020,Q1,Medical Imaging (Private),13308.0,13377.0,-69.0,-0.52,FY2020/21
North West,2020,Q1,Accommodation Fees,6458.0,6166.0,293.0,4.75,FY2020/21
North West,2020,Q1,Equipment Hire,4898.0,4459.0,439.0,9.85,FY2020/21
North West,2020,Q1,Research Grants,9645.0,9426.0,219.0,2.33,FY2020/21
North West,2020,Q1,Other Commercial,2981.0,2871.0,110.0,3.83,FY2020/21
North West,2020,Q2,Car Parking,27750.0,26755.0,995.0,3.72,FY2020/21
North West,2020,Q2,Cafeteria & Food Services,14309.0,13764.0,545.0,3.96,FY2020/21
North West,2020,Q2,Private Patient Fees,60238.0,59167.0,1071.0,1.81,FY2020/21
North West,2020,Q2,Pharmacy Retail,18294.0,18574.0,-280.0,-1.51,FY2020/21
North West,2020,Q2,Medical Imaging (Private),15518.0,14716.0,802.0,5.45,FY2020/21
North West,2020,Q2,Accommodation Fees,6449.0,6727.0,-279.0,-4.14,FY2020/21
North West,2020,Q2,Equipment Hire,4754.0,4363.0,391.0,8.97,FY2020/21
North West,2020,Q2,Research Grants,11274.0,10291.0,983.0,9.55,FY2020/21
North West,2020,Q2,Other Commercial,3161.0,3313.0,-151.0,-4.57,FY2020/21
North West,2020,Q3,Car Parking,25881.0,27649.0,-1768.0,-6.4,FY2020/21
North West,2020,Q3,Cafeteria & Food Services,13709.0,14651.0,-943.0,-6.43,FY2020/21
North West,2020,Q3,Private Patient Fees,53560.0,50535.0,3025.0,5.99,FY2020/21
North West,2020,Q3,Pharmacy Retail,16910.0,18444.0,-1533.0,-8.31,FY2020/21
North West,2020,Q3,Medical Imaging (Private),12479.0,11728.0,751.0,6.4,FY2020/21
North West,2020,Q3,Accommodation Fees,5954.0,6097.0,-143.0,-2.35,FY2020/21
North West,2020,Q3,Equipment Hire,4685.0,4334.0,351.0,8.09,FY2020/21
North West,2020,Q3,Research Grants,10269.0,9733.0,537.0,5.51,FY2020/21
North West,2020,Q3,Other Commercial,2878.0,2826.0,51.0,1.81,FY2020/21
North West,2020,Q4,Car Parking,29172.0,27523.0,1648.0,5.99,FY2020/21
North West,2020,Q4,Cafeteria & Food Services,14956.0,14629.0,326.0,2.23,FY2020/21
North West,2020,Q4,Private Patient Fees,60258.0,65738.0,-5479.0,-8.34,FY2020/21
North West,2020,Q4,Pharmacy Retail,19875.0,18849.0,1027.0,5.45,FY2020/21
North West,2020,Q4,Medical Imaging (Private),12463.0,12007.0,456.0,3.8,FY2020/21
North West,2020,Q4,Accommodation Fees,5834.0,5841.0,-7.0,-0.12,FY2020/21
North West,2020,Q4,Equipment Hire,4944.0,5298.0,-354.0,-6.69,FY2020/21
North West,2020,Q4,Research Grants,11710.0,11381.0,329.0,2.89,FY2020/21
North West,2020,Q4,Other Commercial,3229.0,3108.0,121.0,3.89,FY2020/21
North West,2021,Q1,Car Parking,30042.0,31253.0,-1211.0,-3.88,FY2021/22
North West,2021,Q1,Cafeteria & Food Services,16461.0,16162.0,299.0,1.85,FY2021/22
North West,2021,Q1,Private Patient Fees,62622.0,65044.0,-2422.0,-3.72,FY2021/22
North West,2021,Q1,Pharmacy Retail,23818.0,22885.0,933.0,4.08,FY2021/22
North West,2021,Q1,Medical Imaging (Private),18046.0,17302.0,744.0,4.3,FY2021/22
North West,2021,Q1,Accommodation Fees,7366.0,7701.0,-334.0,-4.34,FY2021/22
North West,2021,Q1,Equipment Hire,5856.0,6427.0,-571.0,-8.88,FY2021/22
North West,2021,Q1,Research Grants,12198.0,12594.0,-396.0,-3.14,FY2021/22
North West,2021,Q1,Other Commercial,3829.0,4147.0,-318.0,-7.67,FY2021/22
North West,2021,Q2,Car Parking,30811.0,32363.0,-1552.0,-4.79,FY2021/22
North West,2021,Q2,Cafeteria & Food Services,18962.0,18107.0,855.0,4.72,FY2021/22
North West,2021,Q2,Private Patient Fees,64895.0,62738.0,2157.0,3.44,FY2021/22
North West,2021,Q2,Pharmacy Retail,22813.0,24588.0,-1775.0,-7.22,FY2021/22
North West,2021,Q2,Medical Imaging (Private),17070.0,17519.0,-450.0,-2.57,FY2021/22
North West,2021,Q2,Accommodation Fees,7496.0,6823.0,673.0,9.86,FY2021/22
North West,2021,Q2,Equipment Hire,5238.0,5230.0,8.0,0.16,FY2021/22
North West,2021,Q2,Research Grants,12464.0,11671.0,793.0,6.8,FY2021/22
North West,2021,Q2,Other Commercial,3735.0,3603.0,132.0,3.67,FY2021/22
North West,2021,Q3,Car Parking,31631.0,31403.0,228.0,0.73,FY2021/22
North West,2021,Q3,Cafeteria & Food Services,17014.0,18470.0,-1456.0,-7.88,FY2021/22
North West,2021,Q3,Private Patient Fees,71058.0,74009.0,-2951.0,-3.99,FY2021/22
North West,2021,Q3,Pharmacy Retail,20271.0,21390.0,-1118.0,-5.23,FY2021/22
North West,2021,Q3,Medical Imaging (Private),18031.0,18997.0,-966.0,-5.08,FY2021/22
North West,2021,Q3,Accommodation Fees,6771.0,6966.0,-195.0,-2.8,FY2021/22
North West,2021,Q3,Equipment Hire,6046.0,6139.0,-94.0,-1.52,FY2021/22
North West,2021,Q3,Research Grants,13518.0,13406.0,113.0,0.84,FY2021/22
North West,2021,Q3,Other Commercial,3757.0,3407.0,350.0,10.27,FY2021/22
North West,2021,Q4,Car Parking,34701.0,31796.0,2905.0,9.14,FY2021/22
North West,2021,Q4,Cafeteria & Food Services,18365.0,17603.0,762.0,4.33,FY2021/22
North West,2021,Q4,Private Patient Fees,66008.0,61168.0,4839.0,7.91,FY2021/22
North West,2021,Q4,Pharmacy Retail,23417.0,24799.0,-1382.0,-5.57,FY2021/22
North West,2021,Q4,Medical Imaging (Private),15434.0,14212.0,1221.0,8.59,FY2021/22
North West,2021,Q4,Accommodation Fees,6828.0,7342.0,-515.0,-7.01,FY2021/22
North West,2021,Q4,Equipment Hire,5635.0,5598.0,37.0,0.66,FY2021/22
North West,2021,Q4,Research Grants,11827.0,12180.0,-354.0,-2.9,FY2021/22
North West,2021,Q4,Other Commercial,4061.0,4327.0,-267.0,-6.16,FY2021/22
North West,2022,Q1,Car Parking,40427.0,36993.0,3434.0,9.28,FY2022/23
North West,2022,Q1,Cafeteria & Food Services,19772.0,17990.0,1782.0,9.91,FY2022/23
North West,2022,Q1,Private Patient Fees,71859.0,66623.0,5236.0,7.86,FY2022/23
North West,2022,Q1,Pharmacy Retail,24653.0,24087.0,567.0,2.35,FY2022/23
North West,2022,Q1,Medical Imaging (Private),21706.0,22185.0,-479.0,-2.16,FY2022/23
North West,2022,Q1,Accommodation Fees,9421.0,9817.0,-396.0,-4.04,FY2022/23
North West,2022,Q1,Equipment Hire,5932.0,6212.0,-280.0,-4.51,FY2022/23
North West,2022,Q1,Research Grants,14436.0,14838.0,-402.0,-2.71,FY2022/23
North West,2022,Q1,Other Commercial,4194.0,4611.0,-417.0,-9.05,FY2022/23
North West,2022,Q2,Car Parking,37013.0,35378.0,1635.0,4.62,FY2022/23
North West,2022,Q2,Cafeteria & Food Services,24053.0,21767.0,2287.0,10.51,FY2022/23
North West,2022,Q2,Private Patient Fees,79902.0,83503.0,-3601.0,-4.31,FY2022/23
North West,2022,Q2,Pharmacy Retail,28272.0,30955.0,-2683.0,-8.67,FY2022/23
North West,2022,Q2,Medical Imaging (Private),21860.0,19959.0,1901.0,9.52,FY2022/23
North West,2022,Q2,Accommodation Fees,9394.0,9668.0,-275.0,-2.84,FY2022/23
North West,2022,Q2,Equipment Hire,6771.0,6268.0,503.0,8.03,FY2022/23
North West,2022,Q2,Research Grants,15810.0,17336.0,-1526.0,-8.8,FY2022/23
North West,2022,Q2,Other Commercial,4791.0,4733.0,58.0,1.23,FY2022/23
North West,2022,Q3,Car Parking,34907.0,33946.0,961.0,2.83,FY2022/23
North West,2022,Q3,Cafeteria & Food Services,23508.0,24455.0,-947.0,-3.87,FY2022/23
North West,2022,Q3,Private Patient Fees,75556.0,68833.0,6723.0,9.77,FY2022/23
North West,2022,Q3,Pharmacy Retail,25701.0,25542.0,159.0,0.62,FY2022/23
North West,2022,Q3,Medical Imaging (Private),21638.0,22249.0,-611.0,-2.74,FY2022/23
North West,2022,Q3,Accommodation Fees,8326.0,8368.0,-42.0,-0.5,FY2022/23
North West,2022,Q3,Equipment Hire,5859.0,6413.0,-554.0,-8.64,FY2022/23
North West,2022,Q3,Research Grants,14747.0,14682.0,65.0,0.44,FY2022/23
North West,2022,Q3,Other Commercial,4209.0,4362.0,-154.0,-3.52,FY2022/23
North West,2022,Q4,Car Parking,40768.0,42523.0,-1756.0,-4.13,FY2022/23
North West,2022,Q4,Cafeteria & Food Services,20587.0,19828.0,759.0,3.83,FY2022/23
North West,2022,Q4,Private Patient Fees,69438.0,71597.0,-2160.0,-3.02,FY2022/23
North West,2022,Q4,Pharmacy Retail,23271.0,23725.0,-455.0,-1.92,FY2022/23
North West,2022,Q4,Medical Imaging (Private),21361.0,23031.0,-1670.0,-7.25,FY2022/23
North West,2022,Q4,Accommodation Fees,8613.0,8543.0,70.0,0.82,FY2022/23
North West,2022,Q4,Equipment Hire,5876.0,6077.0,-201.0,-3.3,FY2022/23
North West,2022,Q4,Research Grants,16437.0,15597.0,839.0,5.38,FY2022/23
North West,2022,Q4,Other Commercial,4278.0,4568.0,-290.0,-6.35,FY2022/23
North West,2023,Q1,Car Parking,43969.0,41711.0,2258.0,5.41,FY2023/24
North West,2023,Q1,Cafeteria & Food Services,22672.0,21278.0,1394.0,6.55,FY2023/24
North West,2023,Q1,Private Patient Fees,70909.0,76739.0,-5830.0,-7.6,FY2023/24
North West,2023,Q1,Pharmacy Retail,28948.0,30453.0,-1505.0,-4.94,FY2023/24
North West,2023,Q1,Medical Imaging (Private),17977.0,19213.0,-1236.0,-6.43,FY2023/24
North West,2023,Q1,Accommodation Fees,8827.0,8549.0,278.0,3.25,FY2023/24
North West,2023,Q1,Equipment Hire,6795.0,6240.0,555.0,8.9,FY2023/24
North West,2023,Q1,Research Grants,16646.0,16920.0,-274.0,-1.62,FY2023/24
North West,2023,Q1,Other Commercial,4143.0,3885.0,258.0,6.65,FY2023/24
North West,2023,Q2,Car Parking,37265.0,33963.0,3302.0,9.72,FY2023/24
North West,2023,Q2,Cafeteria & Food Services,22872.0,24429.0,-1557.0,-6.37,FY2023/24
North West,2023,Q2,Private Patient Fees,69321.0,63069.0,6253.0,9.91,FY2023/24
North West,2023,Q2,Pharmacy Retail,27349.0,29097.0,-1748.0,-6.01,FY2023/24
North West,2023,Q2,Medical Imaging (Private),19322.0,18741.0,581.0,3.1,FY2023/24
North West,2023,Q2,Accommodation Fees,9167.0,8753.0,414.0,4.73,FY2023/24
North West,2023,Q2,Equipment Hire,5957.0,6237.0,-280.0,-4.49,FY2023/24
North West,2023,Q2,Research Grants,16153.0,16414.0,-261.0,-1.59,FY2023/24
North West,2023,Q2,Other Commercial,4740.0,4906.0,-166.0,-3.39,FY2023/24
North West,2023,Q3,Car Parking,37474.0,36368.0,1106.0,3.04,FY2023/24
North West,2023,Q3,Cafeteria & Food Services,20390.0,18881.0,1509.0,7.99,FY2023/24
North West,2023,Q3,Private Patient Fees,81715.0,87576.0,-5861.0,-6.69,FY2023/24
North West,2023,Q3,Pharmacy Retail,29865.0,30632.0,-767.0,-2.5,FY2023/24
North West,2023,Q3,Medical Imaging (Private),18632.0,17162.0,1469.0,8.56,FY2023/24
North West,2023,Q3,Accommodation Fees,9633.0,9784.0,-152.0,-1.55,FY2023/24
North West,2023,Q3,Equipment Hire,6911.0,7300.0,-389.0,-5.33,FY2023/24
North West,2023,Q3,Research Grants,16445.0,17545.0,-1100.0,-6.27,FY2023/24
North West,2023,Q3,Other Commercial,4003.0,4201.0,-198.0,-4.72,FY2023/24
North West,2023,Q4,Car Parking,43715.0,41845.0,1870.0,4.47,FY2023/24
North West,2023,Q4,Cafeteria & Food Services,23155.0,22294.0,861.0,3.86,FY2023/24
North West,2023,Q4,Private Patient Fees,87017.0,78897.0,8120.0,10.29,FY2023/24
North West,2023,Q4,Pharmacy Retail,27395.0,25568.0,1827.0,7.15,FY2023/24
North West,2023,Q4,Medical Imaging (Private),21187.0,19813.0,1373.0,6.93,FY2023/24
North West,2023,Q4,Accommodation Fees,8391.0,8382.0,9.0,0.11,FY2023/24
North West,2023,Q4,Equipment Hire,7389.0,6963.0,426.0,6.12,FY2023/24
North West,2023,Q4,Research Grants,14341.0,15084.0,-743.0,-4.92,FY2023/24
North West,2023,Q4,Other Commercial,4481.0,4850.0,-369.0,-7.61,FY2023/24
North West,2024,Q1,Car Parking,37889.0,38995.0,-1106.0,-2.84,FY2024/25
North West,2024,Q1,Cafeteria & Food Services,21525.0,20048.0,1478.0,7.37,FY2024/25
North West,2024,Q1,Private Patient Fees,84044.0,85619.0,-1575.0,-1.84,FY2024/25
North West,2024,Q1,Pharmacy Retail,29288.0,28172.0,1116.0,3.96,FY2024/25
North West,2024,Q1,Medical Imaging (Private),20442.0,20055.0,386.0,1.93,FY2024/25
North West,2024,Q1,Accommodation Fees,10269.0,9842.0,427.0,4.34,FY2024/25
North West,2024,Q1,Equipment Hire,6560.0,6369.0,191.0,3.0,FY2024/25
North West,2024,Q1,Research Grants,16350.0,15540.0,810.0,5.21,FY2024/25
North West,2024,Q1,Other Commercial,5058.0,4821.0,237.0,4.92,FY2024/25
North West,2024,Q2,Car Parking,45333.0,41738.0,3595.0,8.61,FY2024/25
North West,2024,Q2,Cafeteria & Food Services,23864.0,25807.0,-1942.0,-7.53,FY2024/25
North West,2024,Q2,Private Patient Fees,74100.0,81041.0,-6941.0,-8.56,FY2024/25
North West,2024,Q2,Pharmacy Retail,27288.0,29720.0,-2433.0,-8.18,FY2024/25
North West,2024,Q2,Medical Imaging (Private),21578.0,20722.0,856.0,4.13,FY2024/25
North West,2024,Q2,Accommodation Fees,8512.0,8178.0,334.0,4.09,FY2024/25
North West,2024,Q2,Equipment Hire,6226.0,5783.0,443.0,7.67,FY2024/25
North West,2024,Q2,Research Grants,14572.0,14348.0,225.0,1.57,FY2024/25
North West,2024,Q2,Other Commercial,4926.0,4573.0,353.0,7.73,FY2024/25
North West,2024,Q3,Car Parking,37727.0,38809.0,-1082.0,-2.79,FY2024/25
North West,2024,Q3,Cafeteria & Food Services,21328.0,19612.0,1716.0,8.75,FY2024/25
North West,2024,Q3,Private Patient Fees,74064.0,80340.0,-6277.0,-7.81,FY2024/25
North West,2024,Q3,Pharmacy Retail,29729.0,28862.0,868.0,3.01,FY2024/25
North West,2024,Q3,Medical Imaging (Private),21474.0,21634.0,-160.0,-0.74,FY2024/25
North West,2024,Q3,Accommodation Fees,9591.0,9941.0,-350.0,-3.52,FY2024/25
North West,2024,Q3,Equipment Hire,7113.0,6780.0,333.0,4.91,FY2024/25
North West,2024,Q3,Research Grants,14319.0,14191.0,127.0,0.9,FY2024/25
North West,2024,Q3,Other Commercial,5032.0,5102.0,-70.0,-1.37,FY2024/25
North West,2024,Q4,Car Parking,44703.0,49098.0,-4395.0,-8.95,FY2024/25
North West,2024,Q4,Cafeteria & Food Services,21143.0,21954.0,-811.0,-3.69,FY2024/25
North West,2024,Q4,Private Patient Fees,83867.0,91918.0,-8051.0,-8.76,FY2024/25
North West,2024,Q4,Pharmacy Retail,30817.0,31967.0,-1151.0,-3.6,FY2024/25
North West,2024,Q4,Medical Imaging (Private),19426.0,20586.0,-1160.0,-5.63,FY2024/25
North West,2024,Q4,Accommodation Fees,8332.0,8800.0,-468.0,-5.32,FY2024/25
North West,2024,Q4,Equipment Hire,7579.0,7402.0,178.0,2.4,FY2024/25
North West,2024,Q4,Research Grants,16605.0,16373.0,232.0,1.42,FY2024/25
North West,2024,Q4,Other Commercial,4531.0,4359.0,172.0,3.94,FY2024/25
Torres and Cape,2019,Q1,Car Parking,27551.0,29954.0,-2403.0,-8.02,FY2019/20
Torres and Cape,2019,Q1,Cafeteria & Food Services,15923.0,14888.0,1036.0,6.96,FY2019/20
Torres and Cape,2019,Q1,Private Patient Fees,54933.0,57541.0,-2609.0,-4.53,FY2019/20
Torres and Cape,2019,Q1,Pharmacy Retail,16255.0,14848.0,1407.0,9.47,FY2019/20
Torres and Cape,2019,Q1,Medical Imaging (Private),12238.0,13247.0,-1009.0,-7.62,FY2019/20
Torres and Cape,2019,Q1,Accommodation Fees,5944.0,6207.0,-263.0,-4.23,FY2019/20
Torres and Cape,2019,Q1,Equipment Hire,4068.0,4247.0,-179.0,-4.2,FY2019/20
Torres and Cape,2019,Q1,Research Grants,8938.0,8716.0,223.0,2.56,FY2019/20
Torres and Cape,2019,Q1,Other Commercial,2968.0,2758.0,210.0,7.62,FY2019/20
Torres and Cape,2019,Q2,Car Parking,27929.0,26449.0,1480.0,5.6,FY2019/20
Torres and Cape,2019,Q2,Cafeteria & Food Services,14926.0,14643.0,283.0,1.93,FY2019/20
Torres and Cape,2019,Q2,Private Patient Fees,51562.0,47514.0,4048.0,8.52,FY2019/20
Torres and Cape,2019,Q2,Pharmacy Retail,15277.0,16528.0,-1251.0,-7.57,FY2019/20
Torres and Cape,2019,Q2,Medical Imaging (Private),12243.0,13026.0,-783.0,-6.01,FY2019/20
Torres and Cape,2019,Q2,Accommodation Fees,6450.0,6078.0,372.0,6.12,FY2019/20
Torres and Cape,2019,Q2,Equipment Hire,4077.0,4209.0,-133.0,-3.15,FY2019/20
Torres and Cape,2019,Q2,Research Grants,11206.0,12138.0,-932.0,-7.68,FY2019/20
Torres and Cape,2019,Q2,Other Commercial,2882.0,3052.0,-170.0,-5.57,FY2019/20
Torres and Cape,2019,Q3,Car Parking,23654.0,25913.0,-2259.0,-8.72,FY2019/20
Torres and Cape,2019,Q3,Cafeteria & Food Services,16005.0,14928.0,1076.0,7.21,FY2019/20
Torres and Cape,2019,Q3,Private Patient Fees,47974.0,44137.0,3836.0,8.69,FY2019/20
Torres and Cape,2019,Q3,Pharmacy Retail,16333.0,17365.0,-1032.0,-5.94,FY2019/20
Torres and Cape,2019,Q3,Medical Imaging (Private),12582.0,11546.0,1036.0,8.97,FY2019/20
Torres and Cape,2019,Q3,Accommodation Fees,5542.0,6075.0,-534.0,-8.78,FY2019/20
Torres and Cape,2019,Q3,Equipment Hire,4454.0,4380.0,75.0,1.71,FY2019/20
Torres and Cape,2019,Q3,Research Grants,9273.0,10175.0,-902.0,-8.86,FY2019/20
Torres and Cape,2019,Q3,Other Commercial,3102.0,2966.0,136.0,4.57,FY2019/20
Torres and Cape,2019,Q4,Car Parking,23245.0,21184.0,2061.0,9.73,FY2019/20
Torres and Cape,2019,Q4,Cafeteria & Food Services,13088.0,13299.0,-211.0,-1.59,FY2019/20
Torres and Cape,2019,Q4,Private Patient Fees,55586.0,55550.0,36.0,0.07,FY2019/20
Torres and Cape,2019,Q4,Pharmacy Retail,18702.0,18500.0,202.0,1.09,FY2019/20
Torres and Cape,2019,Q4,Medical Imaging (Private),13609.0,14240.0,-631.0,-4.43,FY2019/20
Torres and Cape,2019,Q4,Accommodation Fees,5309.0,5162.0,147.0,2.85,FY2019/20
Torres and Cape,2019,Q4,Equipment Hire,4462.0,4079.0,383.0,9.39,FY2019/20
Torres and Cape,2019,Q4,Research Grants,9745.0,9813.0,-68.0,-0.69,FY2019/20
Torres and Cape,2019,Q4,Other Commercial,3223.0,3207.0,16.0,0.51,FY2019/20
Torres and Cape,2020,Q1,Car Parking,21542.0,21249.0,293.0,1.38,FY2020/21
Torres and Cape,2020,Q1,Cafeteria & Food Services,11915.0,12143.0,-227.0,-1.87,FY2020/21
Torres and Cape,2020,Q1,Private Patient Fees,42546.0,41789.0,758.0,1.81,FY2020/21
Torres and Cape,2020,Q1,Pharmacy Retail,13683.0,14039.0,-356.0,-2.53,FY2020/21
Torres and Cape,2020,Q1,Medical Imaging (Private),9813.0,9115.0,698.0,7.66,FY2020/21
Torres and Cape,2020,Q1,Accommodation Fees,4016.0,3627.0,388.0,10.7,FY2020/21
Torres and Cape,2020,Q1,Equipment Hire,3636.0,3445.0,192.0,5.56,FY2020/21
Torres and Cape,2020,Q1,Research Grants,7248.0,7590.0,-342.0,-4.51,FY2020/21
Torres and Cape,2020,Q1,Other Commercial,2129.0,2131.0,-3.0,-0.12,FY2020/21
Torres and Cape,2020,Q2,Car Parking,18401.0,20093.0,-1692.0,-8.42,FY2020/21
Torres and Cape,2020,Q2,Cafeteria & Food Services,12063.0,12940.0,-878.0,-6.78,FY2020/21
Torres and Cape,2020,Q2,Private Patient Fees,38063.0,40060.0,-1997.0,-4.99,FY2020/21
Torres and Cape,2020,Q2,Pharmacy Retail,12208.0,11008.0,1200.0,10.9,FY2020/21
Torres and Cape,2020,Q2,Medical Imaging (Private),8858.0,9012.0,-153.0,-1.7,FY2020/21
Torres and Cape,2020,Q2,Accommodation Fees,4402.0,4418.0,-16.0,-0.36,FY2020/21
Torres and Cape,2020,Q2,Equipment Hire,2943.0,2897.0,46.0,1.57,FY2020/21
Torres and Cape,2020,Q2,Research Grants,8194.0,8100.0,94.0,1.16,FY2020/21
Torres and Cape,2020,Q2,Other Commercial,2349.0,2223.0,125.0,5.64,FY2020/21
Torres and Cape,2020,Q3,Car Parking,21528.0,21909.0,-381.0,-1.74,FY2020/21
Torres and Cape,2020,Q3,Cafeteria & Food Services,10352.0,9807.0,545.0,5.56,FY2020/21
Torres and Cape,2020,Q3,Private Patient Fees,40130.0,42778.0,-2648.0,-6.19,FY2020/21
Torres and Cape,2020,Q3,Pharmacy Retail,13078.0,12446.0,632.0,5.08,FY2020/21
Torres and Cape,2020,Q3,Medical Imaging (Private),10893.0,11262.0,-369.0,-3.27,FY2020/21
Torres and Cape,2020,Q3,Accommodation Fees,4394.0,4384.0,11.0,0.24,FY2020/21
Torres and Cape,2020,Q3,Equipment Hire,3100.0,3179.0,-79.0,-2.47,FY2020/21
Torres and Cape,2020,Q3,Research Grants,7523.0,8269.0,-746.0,-9.02,FY2020/21
Torres and Cape,2020,Q3,Other Commercial,2214.0,2208.0,6.0,0.28,FY2020/21
Torres and Cape,2020,Q4,Car Parking,20340.0,22035.0,-1695.0,-7.69,FY2020/21
Torres and Cape,2020,Q4,Cafeteria & Food Services,11927.0,11811.0,117.0,0.99,FY2020/21
Torres and Cape,2020,Q4,Private Patient Fees,40978.0,41684.0,-707.0,-1.7,FY2020/21
Torres and Cape,2020,Q4,Pharmacy Retail,13324.0,12504.0,820.0,6.56,FY2020/21
Torres and Cape,2020,Q4,Medical Imaging (Private),9925.0,9420.0,505.0,5.36,FY2020/21
Torres and Cape,2020,Q4,Accommodation Fees,4893.0,4732.0,161.0,3.4,FY2020/21
Torres and Cape,2020,Q4,Equipment Hire,3699.0,3724.0,-24.0,-0.66,FY2020/21
Torres and Cape,2020,Q4,Research Grants,8033.0,8102.0,-69.0,-0.85,FY2020/21
Torres and Cape,2020,Q4,Other Commercial,2027.0,1977.0,50.0,2.55,FY2020/21
Torres and Cape,2021,Q1,Car Parking,21852.0,22389.0,-537.0,-2.4,FY2021/22
Torres and Cape,2021,Q1,Cafeteria & Food Services,13261.0,13998.0,-737.0,-5.27,FY2021/22
Torres and Cape,2021,Q1,Private Patient Fees,43859.0,40917.0,2942.0,7.19,FY2021/22
Torres and Cape,2021,Q1,Pharmacy Retail,15756.0,17101.0,-1344.0,-7.86,FY2021/22
Torres and Cape,2021,Q1,Medical Imaging (Private),12700.0,12494.0,206.0,1.65,FY2021/22
Torres and Cape,2021,Q1,Accommodation Fees,5395.0,4947.0,449.0,9.07,FY2021/22
Torres and Cape,2021,Q1,Equipment Hire,4498.0,4648.0,-150.0,-3.22,FY2021/22
Torres and Cape,2021,Q1,Research Grants,8918.0,9071.0,-153.0,-1.69,FY2021/22
Torres and Cape,2021,Q1,Other Commercial,2435.0,2662.0,-227.0,-8.52,FY2021/22
Torres and Cape,2021,Q2,Car Parking,22291.0,22951.0,-660.0,-2.88,FY2021/22
Torres and Cape,2021,Q2,Cafeteria & Food Services,12612.0,13160.0,-549.0,-4.17,FY2021/22
Torres and Cape,2021,Q2,Private Patient Fees,50137.0,51875.0,-1739.0,-3.35,FY2021/22
Torres and Cape,2021,Q2,Pharmacy Retail,16562.0,17862.0,-1300.0,-7.28,FY2021/22
Torres and Cape,2021,Q2,Medical Imaging (Private),10867.0,10499.0,367.0,3.5,FY2021/22
Torres and Cape,2021,Q2,Accommodation Fees,5048.0,5541.0,-493.0,-8.89,FY2021/22
Torres and Cape,2021,Q2,Equipment Hire,3923.0,4105.0,-182.0,-4.45,FY2021/22
Torres and Cape,2021,Q2,Research Grants,9819.0,9254.0,565.0,6.11,FY2021/22
Torres and Cape,2021,Q2,Other Commercial,2518.0,2408.0,110.0,4.57,FY2021/22
