HHS,Category,Year,Actual,Budget,Variance,Variance_Pct
Metro South,Other Commercial,2023,280684.0,279448.0,1237.0,0.44
Metro South,Other Commercial,2024,272412.0,265706.0,6707.0,2.52
Metro South,Pharmacy Retail,2019,1508729.0,1489948.0,18781.0,1.26
Metro South,Pharmacy Retail,2020,1172598.0,1163651.0,8946.0,0.77
Metro South,Pharmacy Retail,2021,1420296.0,1352950.0,67346.0,4.98
Metro South,Pharmacy Retail,2022,1583417.0,1537526.0,45891.0,2.98
Metro South,Pharmacy Retail,2023,1658461.0,1653067.0,5393.0,0.33
Metro South,Pharmacy Retail,2024,1738862.0,1716563.0,22301.0,1.3
Metro South,Private Patient Fees,2019,4685741.0,4840828.0,-155086.0,-3.2
Metro South,Private Patient Fees,2020,3323089.0,3232133.0,90956.0,2.81
Metro South,Private Patient Fees,2021,4072745.0,3869033.0,203711.0,5.27
Metro South,Private Patient Fees,2022,5033791.0,4749792.0,283999.0,5.98
Metro South,Private Patient Fees,2023,4884144.0,4879050.0,5094.0,0.1
Metro South,Private Patient Fees,2024,5005350.0,4678186.0,327164.0,6.99
Metro South,Research Grants,2019,828802.0,847551.0,-18748.0,-2.21
Metro South,Research Grants,2020,696402.0,699412.0,-3011.0,-0.43
Metro South,Research Grants,2021,804449.0,796745.0,7704.0,0.97
Metro South,Research Grants,2022,949452.0,952365.0,-2914.0,-0.31
Metro South,Research Grants,2023,985313.0,1014893.0,-29581.0,-2.91
Metro South,Research Grants,2024,1002384.0,1004171.0,-1786.0,-0.18
North West,Accommodation Fees,2019,32828.0,33276.0,-449.0,-1.35
North West,Accommodation Fees,2020,24695.0,24831.0,-136.0,-0.55
North West,Accommodation Fees,2021,28461.0,28832.0,-371.0,-1.29
North West,Accommodation Fees,2022,35754.0,36396.0,-643.0,-1.77
North West,Accommodation Fees,2023,36018.0,35468.0,549.0,1.55
North West,Accommodation Fees,2024,36704.0,36761.0,-57.0,-0.16
North West,Cafeteria & Food Services,2019,79848.0,79436.0,414.0,0.52
North West,Cafeteria & Food Services,2020,60123.0,59327.0,794.0,1.34
North West,Cafeteria & Food Services,2021,70802.0,70342.0,460.0,0.65
North West,Cafeteria & Food Services,2022,87920.0,84040.0,3881.0,4.62
North West,Cafeteria & Food Services,2023,89089.0,86882.0,2207.0,2.54
North West,Cafeteria & Food Services,2024,87860.0,87421.0,441.0,0.5
North West,Car Parking,2019,137346.0,136089.0,1257.0,0.92
North West,Car Parking,2020,108904.0,110465.0,-1561.0,-1.41
North West,Car Parking,2021,127185.0,126815.0,370.0,0.29
North West,Car Parking,2022,153115.0,148840.0,4274.0,2.87
North West,Car Parking,2023,162423.0,153887.0,8536.0,5.55
North West,Car Parking,2024,165652.0,168640.0,-2988.0,-1.77
North West,Equipment Hire,2019,25380.0,25602.0,-221.0,-0.86
North West,Equipment Hire,2020,19281.0,18454.0,827.0,4.48
North West,Equipment Hire,2021,22775.0,23394.0,-620.0,-2.65
North West,Equipment Hire,2022,24438.0,24970.0,-532.0,-2.13
North West,Equipment Hire,2023,27052.0,26740.0,312.0,1.17
North West,Equipment Hire,2024,27478.0,26334.0,1145.0,4.35
North West,Medical Imaging (Private),2019,69578.0,70707.0,-1129.0,-1.6
North West,Medical Imaging (Private),2020,53768.0,51828.0,1940.0,3.74
North West,Medical Imaging (Private),2021,68581.0,68030.0,549.0,0.81
North West,Medical Imaging (Private),2022,86565.0,87424.0,-859.0,-0.98
North West,Medical Imaging (Private),2023,77118.0,74929.0,2187.0,2.92
North West,Medical Imaging (Private),2024,82920.0,82997.0,-78.0,-0.09
North West,Other Commercial,2019,16118.0,16600.0,-480.0,-2.89
North West,Other Commercial,2020,12249.0,12118.0,131.0,1.08
North West,Other Commercial,2021,15382.0,15484.0,-103.0,-0.67
North West,Other Commercial,2022,17472.0,18274.0,-803.0,-4.39
North West,Other Commercial,2023,17367.0,17842.0,-475.0,-2.66
North West,Other Commercial,2024,19547.0,18855.0,692.0,3.67
North West,Pharmacy Retail,2019,97208.0,100816.0,-3608.0,-3.58
North West,Pharmacy Retail,2020,75695.0,76250.0,-553.0,-0.73
North West,Pharmacy Retail,2021,90319.0,93662.0,-3342.0,-3.57
North West,Pharmacy Retail,2022,101897.0,104309.0,-2412.0,-2.31
North West,Pharmacy Retail,2023,113557.0,115750.0,-2193.0,-1.89
North West,Pharmacy Retail,2024,117122.0,118721.0,-1600.0,-1.35
North West,Private Patient Fees,2019,280635.0,287014.0,-6379.0,-2.22
North West,Private Patient Fees,2020,226159.0,231665.0,-5505.0,-2.38
North West,Private Patient Fees,2021,264583.0,262959.0,1623.0,0.62
North West,Private Patient Fees,2022,296755.0,290556.0,6198.0,2.13
North West,Private Patient Fees,2023,308962.0,306281.0,2682.0,0.88
North West,Private Patient Fees,2024,316075.0,338918.0,-22844.0,-6.74
North West,Research Grants,2019,54647.0,52114.0,2531.0,4.86
North West,Research Grants,2020,42898.0,40831.0,2068.0,5.06
North West,Research Grants,2021,50007.0,49851.0,156.0,0.31
North West,Research Grants,2022,61430.0,62453.0,-1024.0,-1.64
North West,Research Grants,2023,63585.0,65963.0,-2378.0,-3.61
North West,Research Grants,2024,61846.0,60452.0,1394.0,2.31
South West,Accommodation Fees,2019,19516.0,19175.0,342.0,1.78
South West,Accommodation Fees,2020,14254.0,15108.0,-854.0,-5.65
South West,Accommodation Fees,2021,17454.0,18171.0,-718.0,-3.95
South West,Accommodation Fees,2022,21649.0,22310.0,-661.0,-2.96
South West,Accommodation Fees,2023,20869.0,20949.0,-80.0,-0.38
South West,Accommodation Fees,2024,22286.0,21546.0,740.0,3.43
South West,Cafeteria & Food Services,2019,46921.0,45646.0,1275.0,2.79
South West,Cafeteria & Food Services,2020,35874.0,36627.0,-752.0,-2.05
South West,Cafeteria & Food Services,2021,44146.0,45770.0,-1623.0,-3.55
South West,Cafeteria & Food Services,2022,48896.0,49580.0,-683.0,-1.38
South West,Cafeteria & Food Services,2023,55472.0,56951.0,-1479.0,-2.6
South West,Cafeteria & Food Services,2024,54937.0,55219.0,-284.0,-0.51
South West,Car Parking,2019,85918.0,84661.0,1255.0,1.48
South West,Car Parking,2020,67219.0,68937.0,-1718.0,-2.49
South West,Car Parking,2021,79372.0,79848.0,-476.0,-0.6
South West,Car Parking,2022,89153.0,87897.0,1258.0,1.43
South West,Car Parking,2023,97037.0,94022.0,3015.0,3.21
South West,Car Parking,2024,105456.0,108233.0,-2777.0,-2.57
South West,Equipment Hire,2019,14209.0,14071.0,139.0,0.99
South West,Equipment Hire,2020,11051.0,10653.0,398.0,3.74
South West,Equipment Hire,2021,13778.0,13901.0,-123.0,-0.88
South West,Equipment Hire,2022,15420.0,14740.0,682.0,4.63
South West,Equipment Hire,2023,16393.0,16144.0,248.0,1.54
South West,Equipment Hire,2024,16729.0,16049.0,680.0,4.24
South West,Medical Imaging (Private),2019,43004.0,43894.0,-889.0,-2.03
South West,Medical Imaging (Private),2020,34492.0,33814.0,678.0,2.01
South West,Medical Imaging (Private),2021,42478.0,40943.0,1536.0,3.75
South West,Medical Imaging (Private),2022,45940.0,44409.0,1531.0,3.45
South West,Medical Imaging (Private),2023,47004.0,46133.0,872.0,1.89
South West,Medical Imaging (Private),2024,51190.0,50817.0,372.0,0.73
South West,Other Commercial,2019,9352.0,9561.0,-210.0,-2.2
South West,Other Commercial,2020,7121.0,6833.0,288.0,4.21
South West,Other Commercial,2021,9230.0,9376.0,-146.0,-1.56
South West,Other Commercial,2022,10264.0,9706.0,557.0,5.74
South West,Other Commercial,2023,9796.0,10116.0,-319.0,-3.15
South West,Other Commercial,2024,10560.0,10382.0,177.0,1.7
South West,Pharmacy Retail,2019,58385.0,57570.0,815.0,1.42
South West,Pharmacy Retail,2020,45624.0,46187.0,-564.0,-1.22
South West,Pharmacy Retail,2021,51103.0,51121.0,-17.0,-0.03
South West,Pharmacy Retail,2022,62207.0,58676.0,3532.0,6.02
South West,Pharmacy Retail,2023,66248.0,68998.0,-2750.0,-3.99
South West,Pharmacy Retail,2024,69001.0,69981.0,-980.0,-1.4
South West,Private Patient Fees,2019,158832.0,160681.0,-1851.0,-1.15
South West,Private Patient Fees,2020,132228.0,134492.0,-2263.0,-1.68
South West,Private Patient Fees,2021,163212.0,173581.0,-10369.0,-5.97
South West,Private Patient Fees,2022,197671.0,197419.0,251.0,0.13
South West,Private Patient Fees,2023,190592.0,189509.0,1084.0,0.57
South West,Private Patient Fees,2024,197507.0,207370.0,-9863.0,-4.76
South West,Research Grants,2019,32628.0,31263.0,1365.0,4.37
South West,Research Grants,2020,26744.0,26390.0,354.0,1.34
South West,Research Grants,2021,32049.0,33063.0,-1013.0,-3.06
South West,Research Grants,2022,36882.0,37278.0,-396.0,-1.06
South West,Research Grants,2023,37775.0,37686.0,88.0,0.23
South West,Research Grants,2024,39940.0,37672.0,2267.0,6.02
Sunshine Coast,Accommodation Fees,2019,268808.0,270032.0,-1223.0,-0.45
Sunshine Coast,Accommodation Fees,2020,202544.0,201292.0,1251.0,0.62
Sunshine Coast,Accommodation Fees,2021,235161.0,230885.0,4276.0,1.85
Sunshine Coast,Accommodation Fees,2022,263712.0,279114.0,-15402.0,-5.52
Sunshine Coast,Accommodation Fees,2023,290894.0,294095.0,-3200.0,-1.09
Sunshine Coast,Accommodation Fees,2024,305749.0,298010.0,7740.0,2.6
Sunshine Coast,Cafeteria & Food Services,2019,650560.0,649885.0,674.0,0.1
Sunshine Coast,Cafeteria & Food Services,2020,522331.0,524382.0,-2049.0,-0.39
Sunshine Coast,Cafeteria & Food Services,2021,619945.0,626003.0,-6059.0,-0.97
Sunshine Coast,Cafeteria & Food Services,2022,767948.0,739994.0,27954.0,3.78
Sunshine Coast,Cafeteria & Food Services,2023,764846.0,765380.0,-536.0,-0.07
Sunshine Coast,Cafeteria & Food Services,2024,722502.0,724573.0,-2070.0,-0.29
Sunshine Coast,Car Parking,2019,1206699.0,1252298.0,-45597.0,-3.64
Sunshine Coast,Car Parking,2020,940406.0,935570.0,4836.0,0.52
Sunshine Coast,Car Parking,2021,1129399.0,1116751.0,12647.0,1.13
Sunshine Coast,Car Parking,2022,1282872.0,1225125.0,57746.0,4.71
Sunshine Coast,Car Parking,2023,1303709.0,1278168.0,25541.0,2.0
Sunshine Coast,Car Parking,2024,1281367.0,1280929.0,438.0,0.03
Sunshine Coast,Equipment Hire,2019,210666.0,207147.0,3520.0,1.7
Sunshine Coast,Equipment Hire,2020,151683.0,153223.0,-1541.0,-1.01
Sunshine Coast,Equipment Hire,2021,190581.0,190514.0,67.0,0.04
Sunshine Coast,Equipment Hire,2022,205806.0,213012.0,-7206.0,-3.38
Sunshine Coast,Equipment Hire,2023,215804.0,224455.0,-8652.0,-3.85
Sunshine Coast,Equipment Hire,2024,223645.0,212336.0,11311.0,5.33
Sunshine Coast,Medical Imaging (Private),2019,599441.0,615852.0,-16413.0,-2.67
Sunshine Coast,Medical Imaging (Private),2020,459232.0,460777.0,-1544.0,-0.34
Sunshine Coast,Medical Imaging (Private),2021,584886.0,603656.0,-18770.0,-3.11
Sunshine Coast,Medical Imaging (Private),2022,633511.0,621263.0,12247.0,1.97
Sunshine Coast,Medical Imaging (Private),2023,704550.0,705423.0,-872.0,-0.12
Sunshine Coast,Medical Imaging (Private),2024,721741.0,708643.0,13098.0,1.85
Sunshine Coast,Other Commercial,2019,133091.0,137061.0,-3971.0,-2.9
Sunshine Coast,Other Commercial,2020,104378.0,107773.0,-3395.0,-3.15
Sunshine Coast,Other Commercial,2021,123118.0,125496.0,-2379.0,-1.9
Sunshine Coast,Other Commercial,2022,144875.0,144164.0,711.0,0.49
Sunshine Coast,Other Commercial,2023,150933.0,145802.0,5131.0,3.52
Sunshine Coast,Other Commercial,2024,150449.0,154158.0,-3709.0,-2.41
Sunshine Coast,Pharmacy Retail,2019,796625.0,759382.0,37244.0,4.9
Sunshine Coast,Pharmacy Retail,2020,656422.0,661727.0,-5304.0,-0.8
Sunshine Coast,Pharmacy Retail,2021,731763.0,728698.0,3065.0,0.42
Sunshine Coast,Pharmacy Retail,2022,868313.0,880640.0,-12329.0,-1.4
Sunshine Coast,Pharmacy Retail,2023,926397.0,899465.0,26932.0,2.99
Sunshine Coast,Pharmacy Retail,2024,926308.0,942555.0,-16246.0,-1.72
Sunshine Coast,Private Patient Fees,2019,2435796.0,2446337.0,-10541.0,-0.43
Sunshine Coast,Private Patient Fees,2020,1832272.0,1800878.0,31395.0,1.74
Sunshine Coast,Private Patient Fees,2021,2198451.0,2281733.0,-83281.0,-3.65
Sunshine Coast,Private Patient Fees,2022,2484991.0,2559600.0,-74610.0,-2.91
Sunshine Coast,Private Patient Fees,2023,2492128.0,2451061.0,41067.0,1.68
Sunshine Coast,Private Patient Fees,2024,2717203.0,2642790.0,74414.0,2.82
Sunshine Coast,Research Grants,2019,444653.0,434590.0,10063.0,2.32
Sunshine Coast,Research Grants,2020,362243.0,363910.0,-1668.0,-0.46
Sunshine Coast,Research Grants,2021,451523.0,445967.0,5555.0,1.25
Sunshine Coast,Research Grants,2022,507710.0,513476.0,-5765.0,-1.12
Sunshine Coast,Research Grants,2023,544889.0,523991.0,20897.0,3.99
Sunshine Coast,Research Grants,2024,508551.0,509672.0,-1122.0,-0.22
Torres and Cape,Accommodation Fees,2019,23245.0,23522.0,-278.0,-1.18
Torres and Cape,Accommodation Fees,2020,17705.0,17161.0,544.0,3.17
Torres and Cape,Accommodation Fees,2021,21296.0,21393.0,-95.0,-0.44
Torres and Cape,Accommodation Fees,2022,25375.0,25436.0,-59.0,-0.23
Torres and Cape,Accommodation Fees,2023,26266.0,27139.0,-872.0,-3.21
Torres and Cape,Accommodation Fees,2024,25591.0,27514.0,-1923.0,-6.99
Torres and Cape,Cafeteria & Food Services,2019,59942.0,57758.0,2184.0,3.78
Torres and Cape,Cafeteria & Food Services,2020,46257.0,46701.0,-443.0,-0.95
Torres and Cape,Cafeteria & Food Services,2021,50868.0,54228.0,-3361.0,-6.2
Torres and Cape,Cafeteria & Food Services,2022,63856.0,64822.0,-966.0,-1.49
Torres and Cape,Cafeteria & Food Services,2023,62602.0,61344.0,1257.0,2.05
Torres and Cape,Cafeteria & Food Services,2024,62933.0,63845.0,-913.0,-1.43
Torres and Cape,Car Parking,2019,102379.0,103500.0,-1121.0,-1.08
Torres and Cape,Car Parking,2020,81811.0,85286.0,-3475.0,-4.07
Torres and Cape,Car Parking,2021,93548.0,95089.0,-1541.0,-1.62
Torres and Cape,Car Parking,2022,111141.0,109485.0,1654.0,1.51
Torres and Cape,Car Parking,2023,115172.0,118960.0,-3789.0,-3.19
Torres and Cape,Car Parking,2024,118836.0,120211.0,-1373.0,-1.14
Torres and Cape,Equipment Hire,2019,17061.0,16915.0,146.0,0.86
Torres and Cape,Equipment Hire,2020,13378.0,13245.0,135.0,1.02
Torres and Cape,Equipment Hire,2021,17042.0,17217.0,-174.0,-1.01
Torres and Cape,Equipment Hire,2022,18499.0,17896.0,604.0,3.38
Torres and Cape,Equipment Hire,2023,18513.0,18706.0,-190.0,-1.02
Torres and Cape,Equipment Hire,2024,19828.0,18912.0,916.0,4.84
Torres and Cape,Medical Imaging (Private),2019,50672.0,52059.0,-1387.0,-2.66
Torres and Cape,Medical Imaging (Private),2020,39489.0,38809.0,681.0,1.75
Torres and Cape,Medical Imaging (Private),2021,49451.0,48603.0,847.0,1.74
Torres and Cape,Medical Imaging (Private),2022,55014.0,56029.0,-1014.0,-1.81
Torres and Cape,Medical Imaging (Private),2023,58388.0,56851.0,1537.0,2.7
Torres and Cape,Medical Imaging (Private),2024,56163.0,56777.0,-615.0,-1.08
Torres and Cape,Other Commercial,2019,12175.0,11983.0,192.0,1.6
Torres and Cape,Other Commercial,2020,8719.0,8539.0,178.0,2.08
Torres and Cape,Other Commercial,2021,10067.0,10347.0,-281.0,-2.72
Torres and Cape,Other Commercial,2022,12624.0,12577.0,48.0,0.38
Torres and Cape,Other Commercial,2023,12309.0,12578.0,-271.0,-2.15
Torres and Cape,Other Commercial,2024,12731.0,13024.0,-293.0,-2.25
Torres and Cape,Pharmacy Retail,2019,66567.0,67241.0,-674.0,-1.0
Torres and Cape,Pharmacy Retail,2020,52293.0,49997.0,2296.0,4.59
Torres and Cape,Pharmacy Retail,2021,63868.0,66263.0,-2394.0,-3.61
Torres and Cape,Pharmacy Retail,2022,79266.0,76000.0,3267.0,4.3
Torres and Cape,Pharmacy Retail,2023,75704.0,78175.0,-2470.0,-3.16
Torres and Cape,Pharmacy Retail,2024,80133.0,76274.0,3860.0,5.06
Torres and Cape,Private Patient Fees,2019,210055.0,204742.0,5311.0,2.59
Torres and Cape,Private Patient Fees,2020,161717.0,166311.0,-4594.0,-2.76
Torres and Cape,Private Patient Fees,2021,192221.0,191859.0,360.0,0.19
Torres and Cape,Private Patient Fees,2022,218453.0,206591.0,11862.0,5.74
Torres and Cape,Private Patient Fees,2023,235103.0,221072.0,14033.0,6.35
Torres and Cape,Private Patient Fees,2024,221591.0,225042.0,-3451.0,-1.53
Torres and Cape,Research Grants,2019,39162.0,40842.0,-1679.0,-4.11
Torres and Cape,Research Grants,2020,30998.0,32061.0,-1063.0,-3.32
Torres and Cape,Research Grants,2021,37204.0,37704.0,-500.0,-1.33
Torres and Cape,Research Grants,2022,44517.0,43747.0,770.0,1.76
Torres and Cape,Research Grants,2023,44607.0,47740.0,-3133.0,-6.56
Torres and Cape,Research Grants,2024,41518.0,39310.0,2209.0,5.62
Townsville,Accommodation Fees,2019,185411.0,184794.0,619.0,0.33
Townsville,Accommodation Fees,2020,136713.0,144244.0,-7531.0,-5.22
Townsville,Accommodation Fees,2021,170428.0,168407.0,2021.0,1.2
Townsville,Accommodation Fees,2022,206396.0,206218.0,178.0,0.09
Townsville,Accommodation Fees,2023,206057.0,205293.0,765.0,0.37
Townsville,Accommodation Fees,2024,209978.0,201720.0,8259.0,4.09
Townsville,Cafeteria & Food Services,2019,449884.0,438970.0,10914.0,2.49
Townsville,Cafeteria & Food Services,2020,358635.0,348386.0,10249.0,2.94
Townsville,Cafeteria & Food Services,2021,445602.0,436036.0,9566.0,2.19
Townsville,Cafeteria & Food Services,2022,509999.0,500854.0,9145.0,1.83
Townsville,Cafeteria & Food Services,2023,502529.0,540070.0,-37541.0,-6.95
Townsville,Cafeteria & Food Services,2024,506177.0,489528.0,16649.0,3.4
Townsville,Car Parking,2019,836429.0,816977.0,19451.0,2.38
Townsville,Car Parking,2020,633546.0,637440.0,-3896.0,-0.61
Townsville,Car Parking,2021,800290.0,817555.0,-17266.0,-2.11
Townsville,Car Parking,2022,879534.0,894836.0,-15299.0,-1.71
Townsville,Car Parking,2023,893520.0,901186.0,-7668.0,-0.85
Townsville,Car Parking,2024,953843.0,946465.0,7377.0,0.78
Townsville,Equipment Hire,2019,135138.0,133786.0,1352.0,1.01
Townsville,Equipment Hire,2020,110926.0,113034.0,-2110.0,-1.87
Townsville,Equipment Hire,2021,136494.0,143303.0,-6809.0,-4.75
Townsville,Equipment Hire,2022,148954.0,142887.0,6066.0,4.25
Townsville,Equipment Hire,2023,156895.0,153511.0,3385.0,2.21
Townsville,Equipment Hire,2024,155449.0,146890.0,8560.0,5.83
Townsville,Medical Imaging (Private),2019,412693.0,432270.0,-19577.0,-4.53
Townsville,Medical Imaging (Private),2020,334595.0,324431.0,10165.0,3.13
Townsville,Medical Imaging (Private),2021,384502.0,414305.0,-29802.0,-7.19
Townsville,Medical Imaging (Private),2022,443837.0,446769.0,-2932.0,-0.66
Townsville,Medical Imaging (Private),2023,458117.0,480529.0,-22410.0,-4.66
Townsville,Medical Imaging (Private),2024,496554.0,496801.0,-248.0,-0.05
Townsville,Other Commercial,2019,90012.0,91802.0,-1790.0,-1.95
Townsville,Other Commercial,2020,72427.0,73946.0,-1521.0,-2.06
Townsville,Other Commercial,2021,91725.0,91915.0,-189.0,-0.21
Townsville,Other Commercial,2022,101660.0,102804.0,-1143.0,-1.11
Townsville,Other Commercial,2023,108803.0,109969.0,-1166.0,-1.06
Townsville,Other Commercial,2024,112233.0,116088.0,-3855.0,-3.32
Townsville,Pharmacy Retail,2019,597959.0,598776.0,-815.0,-0.14
Townsville,Pharmacy Retail,2020,447056.0,435289.0,11767.0,2.7
Townsville,Pharmacy Retail,2021,512390.0,528359.0,-15969.0,-3.02
Townsville,Pharmacy Retail,2022,587881.0,557276.0,30604.0,5.49
Townsville,Pharmacy Retail,2023,577692.0,582513.0,-4820.0,-0.83
Townsville,Pharmacy Retail,2024,641310.0,636471.0,4839.0,0.76
Townsville,Private Patient Fees,2019,1659212.0,1674133.0,-14922.0,-0.89
Townsville,Private Patient Fees,2020,1250153.0,1276730.0,-26578.0,-2.08
Townsville,Private Patient Fees,2021,1477108.0,1430563.0,46545.0,3.25
Townsville,Private Patient Fees,2022,1786993.0,1758151.0,28842.0,1.64
Townsville,Private Patient Fees,2023,1663504.0,1727612.0,-64105.0,-3.71
Townsville,Private Patient Fees,2024,1909366.0,1852636.0,56731.0,3.06
Townsville,Research Grants,2019,322450.0,313288.0,9161.0,2.92
Townsville,Research Grants,2020,254156.0,252391.0,1764.0,0.7
Townsville,Research Grants,2021,290772.0,299594.0,-8821.0,-2.94
Townsville,Research Grants,2022,337241.0,346329.0,-9088.0,-2.62
Townsville,Research Grants,2023,374002.0,354026.0,19977.0,5.64
Townsville,Research Grants,2024,353250.0,354552.0,-1302.0,-0.37
West Moreton,Accommodation Fees,2019,184225.0,183166.0,1058.0,0.58
West Moreton,Accommodation Fees,2020,132421.0,138815.0,-6394.0,-4.61
West Moreton,Accommodation Fees,2021,175043.0,172796.0,2247.0,1.3
West Moreton,Accommodation Fees,2022,182909.0,189035.0,-6127.0,-3.24
West Moreton,Accommodation Fees,2023,194446.0,204090.0,-9643.0,-4.72
West Moreton,Accommodation Fees,2024,212040.0,221020.0,-8982.0,-4.06
West Moreton,Cafeteria & Food Services,2019,437624.0,428871.0,8752.0,2.04
West Moreton,Cafeteria & Food Services,2020,345605.0,332626.0,12980.0,3.9
West Moreton,Cafeteria & Food Services,2021,413959.0,407351.0,6606.0,1.62
West Moreton,Cafeteria & Food Services,2022,494886.0,474499.0,20388.0,4.3
West Moreton,Cafeteria & Food Services,2023,495629.0,491307.0,4323.0,0.88
West Moreton,Cafeteria & Food Services,2024,560348.0,548394.0,11954.0,2.18
West Moreton,Car Parking,2019,815727.0,823518.0,-7791.0,-0.95
West Moreton,Car Parking,2020,635853.0,622913.0,12940.0,2.08
West Moreton,Car Parking,2021,759766.0,746453.0,13313.0,1.78
West Moreton,Car Parking,2022,908040.0,899059.0,8982.0,1.0
West Moreton,Car Parking,2023,889963.0,843315.0,46648.0,5.53
West Moreton,Car Parking,2024,928286.0,973585.0,-45299.0,-4.65
West Moreton,Equipment Hire,2019,140459.0,138356.0,2102.0,1.52
West Moreton,Equipment Hire,2020,108995.0,106704.0,2290.0,2.15
West Moreton,Equipment Hire,2021,132093.0,137068.0,-4974.0,-3.63
West Moreton,Equipment Hire,2022,142972.0,139015.0,3956.0,2.85
West Moreton,Equipment Hire,2023,152992.0,153013.0,-22.0,-0.01
West Moreton,Equipment Hire,2024,156629.0,148535.0,8093.0,5.45
West Moreton,Medical Imaging (Private),2019,419749.0,401803.0,17946.0,4.47
West Moreton,Medical Imaging (Private),2020,316132.0,328793.0,-12662.0,-3.85
West Moreton,Medical Imaging (Private),2021,386590.0,401928.0,-15337.0,-3.82
West Moreton,Medical Imaging (Private),2022,438316.0,409830.0,28487.0,6.95
West Moreton,Medical Imaging (Private),2023,424838.0,415470.0,9370.0,2.26
West Moreton,Medical Imaging (Private),2024,421892.0,424702.0,-2809.0,-0.66
West Moreton,Other Commercial,2019,90782.0,91720.0,-938.0,-1.02
West Moreton,Other Commercial,2020,73034.0,67719.0,5314.0,7.85
West Moreton,Other Commercial,2021,84418.0,80295.0,4121.0,5.13
West Moreton,Other Commercial,2022,95123.0,96044.0,-921.0,-0.96
West Moreton,Other Commercial,2023,93476.0,89583.0,3892.0,4.34
West Moreton,Other Commercial,2024,107037.0,103908.0,3129.0,3.01
West Moreton,Pharmacy Retail,2019,523539.0,516778.0,6761.0,1.31
West Moreton,Pharmacy Retail,2020,443610.0,432559.0,11051.0,2.55
West Moreton,Pharmacy Retail,2021,470466.0,464964.0,5502.0,1.18
West Moreton,Pharmacy Retail,2022,597420.0,564453.0,32966.0,5.84
West Moreton,Pharmacy Retail,2023,627739.0,652770.0,-25030.0,-3.83
West Moreton,Pharmacy Retail,2024,600037.0,577252.0,22785.0,3.95
West Moreton,Private Patient Fees,2019,1704627.0,1656478.0,48150.0,2.91
West Moreton,Private Patient Fees,2020,1157465.0,1132033.0,25433.0,2.25
West Moreton,Private Patient Fees,2021,1490612.0,1532806.0,-42195.0,-2.75
West Moreton,Private Patient Fees,2022,1620557.0,1663250.0,-42694.0,-2.57
West Moreton,Private Patient Fees,2023,1733944.0,1750955.0,-17011.0,-0.97
West Moreton,Private Patient Fees,2024,1791302.0,1837873.0,-46571.0,-2.53
West Moreton,Research Grants,2019,325649.0,321022.0,4627.0,1.44
West Moreton,Research Grants,2020,237305.0,232296.0,5009.0,2.16
West Moreton,Research Grants,2021,289576.0,280115.0,9463.0,3.38
West Moreton,Research Grants,2022,339271.0,342353.0,-3084.0,-0.9
West Moreton,Research Grants,2023,349782.0,363297.0,-13514.0,-3.72
West Moreton,Research Grants,2024,360916.0,374058.0,-13142.0,-3.51
Wide Bay,Accommodation Fees,2019,121603.0,129925.0,-8323.0,-6.41
Wide Bay,Accommodation Fees,2020,99636.0,94047.0,5589.0,5.94
Wide Bay,Accommodation Fees,2021,116315.0,116653.0,-336.0,-0.29
Wide Bay,Accommodation Fees,2022,130131.0,123108.0,7021.0,5.7
Wide Bay,Accommodation Fees,2023,132913.0,137971.0,-5057.0,-3.67
Wide Bay,Accommodation Fees,2024,137387.0,140422.0,-3035.0,-2.16
Wide Bay,Cafeteria & Food Services,2019,309471.0,293293.0,16179.0,5.52
Wide Bay,Cafeteria & Food Services,2020,227655.0,228220.0,-564.0,-0.25
Wide Bay,Cafeteria & Food Services,2021,275364.0,258444.0,16919.0,6.55
Wide Bay,Cafeteria & Food Services,2022,311650.0,304797.0,6853.0,2.25
Wide Bay,Cafeteria & Food Services,2023,327079.0,319780.0,7299.0,2.28
Wide Bay,Cafeteria & Food Services,2024,341987.0,344530.0,-2545.0,-0.74
Wide Bay,Car Parking,2019,541607.0,544644.0,-3036.0,-0.56
Wide Bay,Car Parking,2020,414654.0,428134.0,-13481.0,-3.15
Wide Bay,Car Parking,2021,506553.0,497645.0,8907.0,1.79
Wide Bay,Car Parking,2022,584548.0,569293.0,15255.0,2.68
Wide Bay,Car Parking,2023,620252.0,623409.0,-3157.0,-0.51
Wide Bay,Car Parking,2024,630885.0,627219.0,3665.0,0.58
Wide Bay,Equipment Hire,2019,93418.0,90034.0,3385.0,3.76
Wide Bay,Equipment Hire,2020,68865.0,72313.0,-3448.0,-4.77
Wide Bay,Equipment Hire,2021,82434.0,87624.0,-5190.0,-5.92
Wide Bay,Equipment Hire,2022,101076.0,96244.0,4833.0,5.02
Wide Bay,Equipment Hire,2023,102287.0,101867.0,420.0,0.41
Wide Bay,Equipment Hire,2024,104109.0,102834.0,1276.0,1.24
Wide Bay,Medical Imaging (Private),2019,274840.0,279173.0,-4333.0,-1.55
Wide Bay,Medical Imaging (Private),2020,211160.0,211145.0,15.0,0.01
Wide Bay,Medical Imaging (Private),2021,262165.0,257625.0,4541.0,1.76
Wide Bay,Medical Imaging (Private),2022,306459.0,304345.0,2115.0,0.69
Wide Bay,Medical Imaging (Private),2023,292555.0,314329.0,-21773.0,-6.93
Wide Bay,Medical Imaging (Private),2024,314539.0,299164.0,15375.0,5.14
