HHS,Care_Type,Year,NWA_Units,ABF_Funded,Actual_Cost,Variance,Variance_Pct
South West,Mental Health,2019,1039.4,5209214.0,5504890.0,-295677.0,-5.68
South West,Mental Health,2020,934.5,4790616.0,4902420.0,-111805.0,-2.33
South West,Mental Health,2021,1060.1,5548454.0,5844442.0,-295987.0,-5.33
South West,Mental Health,2022,1141.8,6153149.0,6303251.0,-150102.0,-2.44
South West,Mental Health,2023,1175.7,6480299.0,6620472.0,-140172.0,-2.16
South West,Mental Health,2024,1206.1,6848190.0,6970905.0,-122714.0,-1.79
South West,Outpatient,2019,2771.5,13891029.0,14738394.0,-847365.0,-6.1
South West,Outpatient,2020,2448.0,12550911.0,12802017.0,-251105.0,-2.0
South West,Outpatient,2021,2742.5,14354107.0,14727522.0,-373414.0,-2.6
South West,Outpatient,2022,3001.8,16176649.0,16820695.0,-644046.0,-3.98
South West,Outpatient,2023,2812.3,15501430.0,15862199.0,-360770.0,-2.33
South West,Outpatient,2024,3023.3,17165646.0,16876764.0,288881.0,1.68
Sunshine Coast,Admitted Acute,2019,85996.1,431012240.0,426118219.0,4894021.0,1.14
Sunshine Coast,Admitted Acute,2020,76379.3,391596228.0,411793112.0,-20196884.0,-5.16
Sunshine Coast,Admitted Acute,2021,81253.0,425278161.0,428012328.0,-2734167.0,-0.64
Sunshine Coast,Admitted Acute,2022,91830.2,494872612.0,532435842.0,-37563228.0,-7.59
Sunshine Coast,Admitted Acute,2023,93920.5,517689980.0,534477039.0,-16787058.0,-3.24
Sunshine Coast,Admitted Acute,2024,92752.0,526646256.0,558819911.0,-32173655.0,-6.11
Sunshine Coast,Admitted Subacute,2019,18028.1,90356894.0,91355874.0,-998981.0,-1.11
Sunshine Coast,Admitted Subacute,2020,16821.4,86243166.0,87892578.0,-1649413.0,-1.91
Sunshine Coast,Admitted Subacute,2021,18335.300000000003,95967529.0,100812518.0,-4844989.0,-5.05
Sunshine Coast,Admitted Subacute,2022,20244.8,109098800.0,118755126.0,-9656326.0,-8.85
Sunshine Coast,Admitted Subacute,2023,20856.9,114963300.0,121262440.0,-6299140.0,-5.48
Sunshine Coast,Admitted Subacute,2024,20465.199999999997,116202114.0,121621927.0,-5419813.0,-4.66
Sunshine Coast,Emergency Department,2019,47247.799999999996,236805781.0,249551521.0,-12745740.0,-5.38
Sunshine Coast,Emergency Department,2020,42503.4,217915281.0,223585726.0,-5670444.0,-2.6
Sunshine Coast,Emergency Department,2021,45469.8,237989498.0,247082112.0,-9092615.0,-3.82
Sunshine Coast,Emergency Department,2022,49461.9,266550053.0,272333913.0,-5783860.0,-2.17
Sunshine Coast,Emergency Department,2023,52488.399999999994,289316189.0,295702006.0,-6385818.0,-2.21
Sunshine Coast,Emergency Department,2024,52201.5,296400541.0,305431441.0,-9030900.0,-3.05
Sunshine Coast,Maternity,2019,8591.9,43062611.0,43540124.0,-477513.0,-1.11
Sunshine Coast,Maternity,2020,7572.3,38822950.0,40173022.0,-1350073.0,-3.48
Sunshine Coast,Maternity,2021,8511.3,44548256.0,44584573.0,-36317.0,-0.08
Sunshine Coast,Maternity,2022,9092.2,48997401.0,50633564.0,-1636163.0,-3.34
Sunshine Coast,Maternity,2023,9633.5,53099368.0,56305834.0,-3206467.0,-6.04
Sunshine Coast,Maternity,2024,9255.300000000001,52551871.0,55938347.0,-3386477.0,-6.44
Sunshine Coast,Mental Health,2019,14916.0,74758660.0,77542564.0,-2783904.0,-3.72
Sunshine Coast,Mental Health,2020,12823.2,65744442.0,66564496.0,-820054.0,-1.25
Sunshine Coast,Mental Health,2021,14841.2,77678646.0,77415011.0,263634.0,0.34
Sunshine Coast,Mental Health,2022,15775.5,85013727.0,89485095.0,-4471368.0,-5.26
Sunshine Coast,Mental Health,2023,15450.1,85160995.0,89422661.0,-4261665.0,-5.0
Sunshine Coast,Mental Health,2024,16823.3,95522596.0,101199601.0,-5677006.0,-5.94
Sunshine Coast,Outpatient,2019,37661.600000000006,188760009.0,194800766.0,-6040757.0,-3.2
Sunshine Coast,Outpatient,2020,35449.8,181751461.0,186306392.0,-4554932.0,-2.51
Sunshine Coast,Outpatient,2021,36951.1,193401668.0,202661435.0,-9259765.0,-4.79
Sunshine Coast,Outpatient,2022,39637.3,213605654.0,213372919.0,232734.0,0.11
Sunshine Coast,Outpatient,2023,41853.1,230694771.0,254476011.0,-23781239.0,-10.31
Sunshine Coast,Outpatient,2024,40308.3,228870777.0,232042434.0,-3171656.0,-1.39
Torres and Cape,Admitted Acute,2019,7182.5,35998408.0,37683895.0,-1685486.0,-4.68
Torres and Cape,Admitted Acute,2020,6547.9,33571118.0,34593670.0,-1022552.0,-3.05
Torres and Cape,Admitted Acute,2021,7190.5,37635514.0,38869435.0,-1233922.0,-3.28
Torres and Cape,Admitted Acute,2022,7425.0,40013213.0,41556261.0,-1543049.0,-3.86
Torres and Cape,Admitted Acute,2023,7915.700000000001,43631668.0,44207436.0,-575769.0,-1.32
Torres and Cape,Admitted Acute,2024,7941.9,45094088.0,46709061.0,-1614973.0,-3.58
Torres and Cape,Admitted Subacute,2019,1638.1,8210093.0,8630248.0,-420155.0,-5.12
Torres and Cape,Admitted Subacute,2020,1466.0,7516228.0,7457425.0,58805.0,0.78
Torres and Cape,Admitted Subacute,2021,1578.2,8260149.0,8337222.0,-77074.0,-0.93
Torres and Cape,Admitted Subacute,2022,1780.7,9596338.0,10109116.0,-512778.0,-5.34
Torres and Cape,Admitted Subacute,2023,1822.2,10043809.0,10128237.0,-84428.0,-0.84
Torres and Cape,Admitted Subacute,2024,1828.8,10384627.0,11226961.0,-842334.0,-8.11
Torres and Cape,Emergency Department,2019,3876.6,19429821.0,20204353.0,-774532.0,-3.99
Torres and Cape,Emergency Department,2020,3632.4,18623551.0,19768498.0,-1144946.0,-6.15
Torres and Cape,Emergency Department,2021,3659.1,19151350.0,19239671.0,-88320.0,-0.46
Torres and Cape,Emergency Department,2022,4215.3,22715772.0,24212111.0,-1496339.0,-6.59
Torres and Cape,Emergency Department,2023,4601.9,25365541.0,25241516.0,124024.0,0.49
Torres and Cape,Emergency Department,2024,4423.2,25114622.0,26314412.0,-1199789.0,-4.78
Torres and Cape,Maternity,2019,731.8,3667339.0,3711051.0,-43712.0,-1.19
Torres and Cape,Maternity,2020,640.1,3281922.0,3370782.0,-88860.0,-2.71
Torres and Cape,Maternity,2021,714.1,3737259.0,3810906.0,-73648.0,-1.97
Torres and Cape,Maternity,2022,780.7,4207684.0,4419398.0,-211715.0,-5.03
Torres and Cape,Maternity,2023,785.5,4330191.0,4570462.0,-240270.0,-5.55
Torres and Cape,Maternity,2024,770.3,4373753.0,4768985.0,-395231.0,-9.04
Torres and Cape,Mental Health,2019,1286.9,6449918.0,6750300.0,-300383.0,-4.66
Torres and Cape,Mental Health,2020,1145.5,5873232.0,6026580.0,-153347.0,-2.61
Torres and Cape,Mental Health,2021,1243.0,6505525.0,6782497.0,-276972.0,-4.26
Torres and Cape,Mental Health,2022,1362.8,7343738.0,7780131.0,-436393.0,-5.94
Torres and Cape,Mental Health,2023,1418.5,7818966.0,8029600.0,-210635.0,-2.69
Torres and Cape,Mental Health,2024,1402.3,7962076.0,8226537.0,-264461.0,-3.32
Torres and Cape,Outpatient,2019,3261.7000000000003,16347442.0,17455961.0,-1108516.0,-6.78
Torres and Cape,Outpatient,2020,3039.7,15584592.0,15992902.0,-408310.0,-2.62
Torres and Cape,Outpatient,2021,3148.9,16481602.0,16735679.0,-254077.0,-1.54
Torres and Cape,Outpatient,2022,3310.0,17837854.0,18476986.0,-639132.0,-3.58
Torres and Cape,Outpatient,2023,3636.8,20046074.0,20904583.0,-858510.0,-4.28
Torres and Cape,Outpatient,2024,3499.8,19871942.0,19751240.0,120702.0,0.61
Townsville,Admitted Acute,2019,56418.799999999996,282770918.0,302546131.0,-19775214.0,-6.99
Townsville,Admitted Acute,2020,51714.8,265141551.0,281836117.0,-16694566.0,-6.3
Townsville,Admitted Acute,2021,60201.0,315091574.0,327491547.0,-12399973.0,-3.94
Townsville,Admitted Acute,2022,61516.8,331514693.0,349930179.0,-18415485.0,-5.55
Townsville,Admitted Acute,2023,63718.2,351215108.0,361356806.0,-10141701.0,-2.89
Townsville,Admitted Acute,2024,65022.7,369199025.0,391598935.0,-22399911.0,-6.07
Townsville,Admitted Subacute,2019,13029.9,65305795.0,67673855.0,-2368060.0,-3.63
Townsville,Admitted Subacute,2020,11538.9,59159719.0,60801646.0,-1641926.0,-2.78
Townsville,Admitted Subacute,2021,12593.6,65914876.0,69325802.0,-3410927.0,-5.17
Townsville,Admitted Subacute,2022,13545.3,72995924.0,77285045.0,-4289121.0,-5.88
Townsville,Admitted Subacute,2023,14823.7,81708794.0,84392861.0,-2684068.0,-3.28
Townsville,Admitted Subacute,2024,14863.6,84395274.0,89209795.0,-4814519.0,-5.7
Townsville,Emergency Department,2019,32381.3,162295399.0,166447333.0,-4151934.0,-2.56
Townsville,Emergency Department,2020,29851.9,153050377.0,152155628.0,894750.0,0.58
Townsville,Emergency Department,2021,31311.4,163883768.0,175368967.0,-11485198.0,-7.01
Townsville,Emergency Department,2022,32385.5,174525123.0,183729878.0,-9204756.0,-5.27
Townsville,Emergency Department,2023,36089.1,198923804.0,206705799.0,-7781996.0,-3.91
Townsville,Emergency Department,2024,36824.7,209091179.0,210435027.0,-1343848.0,-0.64
Townsville,Maternity,2019,5746.2,28799906.0,27964785.0,835121.0,2.9
Townsville,Maternity,2020,5295.5,27149695.0,27587549.0,-437855.0,-1.61
Townsville,Maternity,2021,5620.6,29417856.0,31014413.0,-1596558.0,-5.43
Townsville,Maternity,2022,6170.3,33251620.0,34768322.0,-1516701.0,-4.56
Townsville,Maternity,2023,6182.3,34076710.0,34911948.0,-835238.0,-2.45
Townsville,Maternity,2024,6516.9,37003665.0,38304751.0,-1301085.0,-3.52
Townsville,Mental Health,2019,10202.2,51133891.0,51465797.0,-331906.0,-0.65
Townsville,Mental Health,2020,8693.5,44571556.0,46068293.0,-1496738.0,-3.36
Townsville,Mental Health,2021,9752.0,51042220.0,53085913.0,-2043693.0,-4.0
Townsville,Mental Health,2022,10712.6,57730622.0,61679297.0,-3948677.0,-6.84
Townsville,Mental Health,2023,11798.9,65036127.0,69441515.0,-4405388.0,-6.77
Townsville,Mental Health,2024,11633.7,66056071.0,67899801.0,-1843729.0,-2.79
Townsville,Outpatient,2019,25218.6,126395746.0,130037293.0,-3641548.0,-2.88
Townsville,Outpatient,2020,23560.5,120794666.0,126438735.0,-5644068.0,-4.67
Townsville,Outpatient,2021,26347.1,137900944.0,145958970.0,-8058024.0,-5.84
Townsville,Outpatient,2022,28907.2,155781077.0,162585002.0,-6803923.0,-4.37
Townsville,Outpatient,2023,29402.6,162067579.0,171806313.0,-9738734.0,-6.01
Townsville,Outpatient,2024,29540.7,167731745.0,180931578.0,-13199833.0,-7.87
West Moreton,Admitted Acute,2019,54670.9,274010908.0,279949556.0,-5938648.0,-2.17
West Moreton,Admitted Acute,2020,49791.6,255281041.0,248135562.0,7145480.0,2.8
West Moreton,Admitted Acute,2021,54742.0,286519455.0,297322507.0,-10803052.0,-3.77
West Moreton,Admitted Acute,2022,62022.200000000004,334237541.0,341578929.0,-7341389.0,-2.2
West Moreton,Admitted Acute,2023,62413.0,344020583.0,352728702.0,-8708119.0,-2.53
West Moreton,Admitted Acute,2024,60981.3,346252472.0,344305891.0,1946581.0,0.56
West Moreton,Admitted Subacute,2019,12431.2,62305358.0,64655962.0,-2350606.0,-3.77
West Moreton,Admitted Subacute,2020,11273.1,57797408.0,60368302.0,-2570892.0,-4.45
West Moreton,Admitted Subacute,2021,11801.2,61767615.0,61728513.0,39102.0,0.06
West Moreton,Admitted Subacute,2022,13831.4,74536902.0,75886458.0,-1349555.0,-1.81
West Moreton,Admitted Subacute,2023,14316.6,78912842.0,79050921.0,-138079.0,-0.17
West Moreton,Admitted Subacute,2024,14240.5,80857490.0,84803176.0,-3945685.0,-4.88
West Moreton,Emergency Department,2019,30518.8,152959783.0,156006474.0,-3046691.0,-1.99
West Moreton,Emergency Department,2020,27644.3,141732948.0,148934437.0,-7201491.0,-5.08
West Moreton,Emergency Department,2021,30002.2,157031247.0,167648872.0,-10617624.0,-6.76
West Moreton,Emergency Department,2022,31525.6,169891999.0,173591313.0,-3699313.0,-2.18
West Moreton,Emergency Department,2023,34872.399999999994,192216706.0,206479216.0,-14262511.0,-7.42
West Moreton,Emergency Department,2024,36474.9,207104412.0,206411472.0,692939.0,0.33
West Moreton,Maternity,2019,5623.5,28185057.0,28951814.0,-766758.0,-2.72
West Moreton,Maternity,2020,4937.9,25316576.0,25913758.0,-597182.0,-2.36
West Moreton,Maternity,2021,5808.1,30399247.0,32158052.0,-1758806.0,-5.79
West Moreton,Maternity,2022,6102.8,32887468.0,33067711.0,-180245.0,-0.55
West Moreton,Maternity,2023,6082.2,33525062.0,34367345.0,-842283.0,-2.51
West Moreton,Maternity,2024,6332.3,35954633.0,37863307.0,-1908673.0,-5.31
West Moreton,Mental Health,2019,9886.2,49549338.0,52351760.0,-2802423.0,-5.66
West Moreton,Mental Health,2020,8823.9,45240073.0,45971005.0,-730932.0,-1.62
West Moreton,Mental Health,2021,9537.8,49920656.0,52404689.0,-2484035.0,-4.98
West Moreton,Mental Health,2022,10384.5,55962359.0,60752875.0,-4790516.0,-8.56
West Moreton,Mental Health,2023,10788.1,59463561.0,59732975.0,-269415.0,-0.45
West Moreton,Mental Health,2024,10812.5,61393537.0,64690485.0,-3296948.0,-5.37
West Moreton,Outpatient,2019,25472.7,127668871.0,130532329.0,-2863459.0,-2.24
West Moreton,Outpatient,2020,22574.3,115738466.0,119451108.0,-3712643.0,-3.21
West Moreton,Outpatient,2021,25547.1,133713783.0,134355887.0,-642103.0,-0.48
West Moreton,Outpatient,2022,27185.9,146504927.0,144728132.0,1776793.0,1.21
West Moreton,Outpatient,2023,28772.8,158594917.0,169634747.0,-11039830.0,-6.96
West Moreton,Outpatient,2024,29652.3,168366087.0,171953659.0,-3587571.0,-2.13
Wide Bay,Admitted Acute,2019,38566.0,193292960.0,202629276.0,-9336317.0,-4.83
Wide Bay,Admitted Acute,2020,34496.4,176862930.0,184946883.0,-8083953.0,-4.57
Wide Bay,Admitted Acute,2021,36546.3,191283308.0,197424119.0,-6140812.0,-3.21
Wide Bay,Admitted Acute,2022,40337.3,217377272.0,221620987.0,-4243715.0,-1.95
Wide Bay,Admitted Acute,2023,42650.6,235090328.0,245020992.0,-9930662.0,-4.22
Wide Bay,Admitted Acute,2024,42806.9,243056944.0,261417224.0,-18360280.0,-7.55
Wide Bay,Admitted Subacute,2019,8431.0,42256671.0,44684731.0,-2428059.0,-5.75
Wide Bay,Admitted Subacute,2020,7548.6,38701228.0,39773880.0,-1072651.0,-2.77
Wide Bay,Admitted Subacute,2021,8577.8,44895878.0,46336715.0,-1440836.0,-3.21
Wide Bay,Admitted Subacute,2022,8766.5,47242838.0,47725743.0,-482905.0,-1.02
Wide Bay,Admitted Subacute,2023,9539.4,52580964.0,52479567.0,101397.0,0.19
Wide Bay,Admitted Subacute,2024,9667.1,54889721.0,55846046.0,-956324.0,-1.74
Wide Bay,Emergency Department,2019,21176.8,106138426.0,111519640.0,-5381213.0,-5.07
Wide Bay,Emergency Department,2020,19053.6,97688011.0,96786830.0,901182.0,0.92
Wide Bay,Emergency Department,2021,20712.2,108407297.0,115799191.0,-7391894.0,-6.82
Wide Bay,Emergency Department,2022,22293.3,120138941.0,127276805.0,-7137863.0,-5.94
Wide Bay,Emergency Department,2023,22638.9,124786481.0,123928266.0,858215.0,0.69
Wide Bay,Emergency Department,2024,23843.7,135384417.0,145717317.0,-10332898.0,-7.63
Wide Bay,Maternity,2019,3804.0,19065005.0,19457884.0,-392880.0,-2.06
Wide Bay,Maternity,2020,3606.4,18489523.0,19070549.0,-581026.0,-3.14
Wide Bay,Maternity,2021,3716.5,19452128.0,20305410.0,-853283.0,-4.39
Wide Bay,Maternity,2022,3982.2000000000003,21459760.0,22129732.0,-669973.0,-3.12
Wide Bay,Maternity,2023,4175.0,23012939.0,23087810.0,-74871.0,-0.33
Wide Bay,Maternity,2024,4290.3,24360238.0,24708812.0,-348574.0,-1.43
Wide Bay,Mental Health,2019,6505.9,32607930.0,34393130.0,-1785201.0,-5.47
Wide Bay,Mental Health,2020,5926.7,30386357.0,31357713.0,-971356.0,-3.2
Wide Bay,Mental Health,2021,6506.7,34055710.0,36283791.0,-2228081.0,-6.54
Wide Bay,Mental Health,2022,7382.9,39786353.0,40699341.0,-912988.0,-2.29
Wide Bay,Mental Health,2023,7283.299999999999,40145124.0,40344526.0,-199402.0,-0.5
Wide Bay,Mental Health,2024,7587.2,43080517.0,45364863.0,-2284347.0,-5.3
Wide Bay,Outpatient,2019,17117.6,85793215.0,89557063.0,-3763847.0,-4.39
Wide Bay,Outpatient,2020,14757.3,75660726.0,74360743.0,1299984.0,1.72
Wide Bay,Outpatient,2021,16369.5,85677767.0,90536762.0,-4858995.0,-5.67
Wide Bay,Outpatient,2022,19000.0,102391709.0,101928870.0,462838.0,0.45
Wide Bay,Outpatient,2023,19184.6,105745826.0,106282387.0,-536561.0,-0.51
Wide Bay,Outpatient,2024,19332.4,109769404.0,112854964.0,-3085560.0,-2.81
